# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-06T16:01:21
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-377.35216764	0.00069222
-377.31883431	0.00087770
-377.28550097	0.00024761
-377.25216764	0.00061858
-377.21883431	-0.00037021
-377.18550097	-0.00028477
-377.15216764	0.00034023
-377.11883431	0.00011460
-377.08550097	0.00052933
-377.05216764	0.00078291
-377.01883431	0.00087882
-376.98550097	0.00040571
-376.95216764	-0.00017128
-376.91883431	0.00041957
-376.88550097	0.00083318
-376.85216764	-0.00010470
-376.81883431	0.00002344
-376.78550097	0.00075489
-376.75216764	0.00096882
-376.71883431	0.00040725
-376.68550097	0.00018194
-376.65216764	0.00002076
-376.61883431	0.00032890
-376.58550097	0.00012383
-376.55216764	0.00064808
-376.51883431	0.00059903
-376.48550097	0.00038747
-376.45216764	0.00058019
-376.41883431	0.00142255
-376.38550097	0.00009222
-376.35216764	0.00080934
-376.31883431	0.00022682
-376.28550097	0.00151404
-376.25216764	0.00079515
-376.21883431	0.00024203
-376.18550097	0.00065621
-376.15216764	0.00128503
-376.11883431	0.00091426
-376.08550097	0.00003724
-376.05216764	0.00039919
-376.01883431	0.00057982
-375.98550097	0.00087019
-375.95216764	0.00053821
-375.91883431	0.00045463
-375.88550097	0.00094983
-375.85216764	0.00021429
-375.81883431	0.00033131
-375.78550097	-0.00054819
-375.75216764	0.00015160
-375.71883431	-0.00028311
-375.68550097	-0.00062434
-375.65216764	-0.00027596
-375.61883431	-0.00037953
-375.58550097	-0.00057064
-375.55216764	-0.00006549
-375.51883431	0.00086717
-375.48550097	-0.00005876
-375.45216764	-0.00032417
-375.41883431	0.00060256
-375.38550097	0.00073164
-375.35216764	-0.00009996
-375.31883431	0.00074688
-375.28550097	0.00007830
-375.25216764	-0.00015712
-375.21883431	-0.00046014
-375.18550097	-0.00052284
-375.15216764	0.00041127
-375.11883431	0.00028844
-375.08550097	-0.00103742
-375.05216764	-0.00085686
-375.01883431	-0.00149185
-374.98550097	-0.00096495
-374.95216764	-0.00099072
-374.91883431	-0.00112245
-374.88550097	-0.00055319
-374.85216764	-0.00116190
-374.81883431	-0.00081490
-374.78550097	0.00055301
-374.75216764	-0.00106296
-374.71883431	0.00043036
-374.68550097	0.00010240
-374.65216764	0.00029202
-374.61883431	-0.00062135
-374.58550098	-0.00100542
-374.55216764	0.00042154
-374.51883431	0.00038248
-374.48550098	0.00006234
-374.45216764	-0.00049406
-374.41883431	-0.00077318
-374.38550098	-0.00118555
-374.35216764	0.00041333
-374.31883431	0.00027302
-374.28550098	-0.00021998
-374.25216764	-0.00073042
-374.21883431	0.00020537
-374.18550098	-0.00033266
-374.15216764	-0.00170910
-374.11883431	0.00018431
-374.08550098	-0.00022089
-374.05216764	-0.00071225
-374.01883431	-0.00102562
-373.98550098	-0.00074236
-373.95216764	-0.00122545
-373.91883431	-0.00123253
-373.88550098	-0.00025172
-373.85216764	-0.00075315
-373.81883431	-0.00019918
-373.78550098	-0.00031363
-373.75216764	-0.00068612
-373.71883431	-0.00045263
-373.68550098	-0.00093076
-373.65216764	0.00035196
-373.61883431	-0.00019364
-373.58550098	-0.00120220
-373.55216764	-0.00062776
-373.51883431	-0.00112330
-373.48550098	-0.00105739
-373.45216764	-0.00170970
-373.41883431	-0.00160340
-373.38550098	-0.00085274
-373.35216764	-0.00136262
-373.31883431	-0.00124128
-373.28550098	-0.00225763
-373.25216764	-0.00153511
-373.21883431	-0.00204207
-373.18550098	-0.00121796
-373.15216764	-0.00027980
-373.11883431	-0.00047492
-373.08550098	-0.00064069
-373.05216764	-0.00109252
-373.01883431	-0.00093714
-372.98550098	-0.00155810
-372.95216764	-0.00037211
-372.91883431	-0.00088677
-372.88550098	-0.00185238
-372.85216764	-0.00142436
-372.81883431	-0.00149977
-372.78550098	-0.00089770
-372.75216764	-0.00264285
-372.71883431	-0.00171571
-372.68550098	-0.00055656
-372.65216764	-0.00232229
-372.61883431	-0.00096517
-372.58550098	-0.00102556
-372.55216764	-0.00090081
-372.51883431	-0.00189326
-372.48550098	-0.00136018
-372.45216764	-0.00167616
-372.41883431	-0.00097211
-372.38550098	-0.00180944
-372.35216764	-0.00166204
-372.31883431	-0.00251604
-372.28550098	-0.00260646
-372.25216764	-0.00215427
-372.21883431	-0.00124264
-372.18550098	-0.00102315
-372.15216764	-0.00189805
-372.11883431	-0.00208583
-372.08550098	-0.00186050
-372.05216764	-0.00124673
-372.01883431	-0.00114216
-371.98550098	-0.00145846
-371.95216764	-0.00255778
-371.91883431	-0.00174023
-371.88550098	-0.00192731
-371.85216764	-0.00207616
-371.81883431	-0.00344620
-371.78550098	-0.00190014
-371.75216764	-0.00201911
-371.71883431	-0.00218771
-371.68550098	-0.00228151
-371.65216764	-0.00113403
-371.61883431	-0.00242609
-371.58550098	-0.00087537
-371.55216764	-0.00240543
-371.51883431	-0.00269369
-371.48550098	-0.00226349
-371.45216765	-0.00314746
-371.41883431	-0.00177434
-371.38550098	-0.00131110
-371.35216765	-0.00180136
-371.31883431	-0.00119102
-371.28550098	-0.00136363
-371.25216765	-0.00270389
-371.21883431	-0.00220200
-371.18550098	-0.00124584
-371.15216765	-0.00212022
-371.11883431	-0.00125405
-371.08550098	-0.00202683
-371.05216765	-0.00210484
-371.01883431	0.00040599
-370.98550098	-0.00160287
-370.95216765	-0.00192466
-370.91883431	-0.00037011
-370.88550098	-0.00186754
-370.85216765	-0.00087838
-370.81883431	-0.00043987
-370.78550098	-0.00044497
-370.75216765	-0.00063562
-370.71883431	-0.00126756
-370.68550098	-0.00036423
-370.65216765	-0.00124994
-370.61883431	-0.00164619
-370.58550098	-0.00185891
-370.55216765	-0.00208616
-370.51883431	-0.00074522
-370.48550098	-0.00052154
-370.45216765	-0.00077351
-370.41883431	-0.00237200
-370.38550098	-0.00163658
-370.35216765	-0.00068334
-370.31883431	-0.00081664
-370.28550098	-0.00115328
-370.25216765	-0.00085463
-370.21883431	0.00023415
-370.18550098	-0.00167946
-370.15216765	-0.00193669
-370.11883431	-0.00037091
-370.08550098	-0.00194431
-370.05216765	-0.00060315
-370.01883431	-0.00059130
-369.98550098	0.00001432
-369.95216765	0.00091599
-369.91883431	0.00001146
-369.88550098	-0.00043221
-369.85216765	0.00155414
-369.81883431	0.00259016
-369.78550098	0.00276675
-369.75216765	0.00294547
-369.71883431	0.00488002
-369.68550098	0.00588011
-369.65216765	0.00614581
-369.61883431	0.00894927
-369.58550098	0.00819886
-369.55216765	0.00961267
-369.51883431	0.01080769
-369.48550098	0.01134898
-369.45216765	0.01044808
-369.41883431	0.01108658
-369.38550098	0.00904569
-369.35216765	0.00520146
-369.31883431	0.00157514
