# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-15T20:06:16
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-378.58554525	0.00002903
-378.55221191	0.00015923
-378.51887857	0.00035234
-378.48554524	-0.00009215
-378.45221190	-0.00003666
-378.41887856	-0.00021368
-378.38554522	-0.00007370
-378.35221188	-0.00032606
-378.31887854	-0.00018566
-378.28554520	-0.00003590
-378.25221187	-0.00019138
-378.21887853	0.00008146
-378.18554519	-0.00034121
-378.15221185	0.00030423
-378.11887851	-0.00018721
-378.08554517	-0.00058578
-378.05221183	0.00010010
-378.01887850	-0.00022744
-377.98554516	-0.00031808
-377.95221182	-0.00035455
-377.91887848	-0.00045110
-377.88554514	-0.00000571
-377.85221180	-0.00024514
-377.81887846	-0.00033606
-377.78554513	-0.00000111
-377.75221179	-0.00041092
-377.71887845	-0.00024296
-377.68554511	-0.00067807
-377.65221177	0.00078195
-377.61887843	-0.00019169
-377.58554509	0.00036360
-377.55221176	0.00064639
-377.51887842	0.00025791
-377.48554508	0.00032340
-377.45221174	-0.00039495
-377.41887840	0.00041063
-377.38554506	0.00059248
-377.35221172	-0.00021506
-377.31887839	-0.00010020
-377.28554505	0.00026206
-377.25221171	0.00028932
-377.21887837	-0.00078946
-377.18554503	0.00059026
-377.15221169	-0.00022736
-377.11887835	0.00028094
-377.08554501	-0.00052002
-377.05221168	0.00033685
-377.01887834	-0.00018825
-376.98554500	0.00045332
-376.95221166	0.00031165
-376.91887832	0.00004856
-376.88554498	0.00005034
-376.85221164	-0.00037725
-376.81887831	-0.00059336
-376.78554497	0.00004266
-376.75221163	0.00005309
-376.71887829	-0.00005407
-376.68554495	-0.00014822
-376.65221161	-0.00090719
-376.61887827	-0.00050719
-376.58554494	0.00005058
-376.55221160	-0.00025866
-376.51887826	0.00040907
-376.48554492	-0.00002771
-376.45221158	-0.00031912
-376.41887824	0.00003448
-376.38554490	0.00025751
-376.35221157	0.00021975
-376.31887823	0.00014998
-376.28554489	0.00075264
-376.25221155	0.00041859
-376.21887821	0.00005526
-376.18554487	0.00011662
-376.15221153	0.00116113
-376.11887820	-0.00019834
-376.08554486	0.00089337
-376.05221152	0.00069434
-376.01887818	0.00010799
-375.98554484	0.00056093
-375.95221150	0.00017519
-375.91887816	0.00044377
-375.88554483	0.00056097
-375.85221149	0.00130626
-375.81887815	0.00165988
-375.78554481	0.00038649
-375.75221147	0.00046293
-375.71887813	-0.00006656
-375.68554479	-0.00012915
-375.65221146	0.00026009
-375.61887812	0.00084224
-375.58554478	-0.00020949
-375.55221144	-0.00002751
-375.51887810	0.00033801
-375.48554476	0.00078186
-375.45221142	0.00060527
-375.41887808	-0.00042757
-375.38554475	0.00029624
-375.35221141	-0.00011652
-375.31887807	0.00010511
-375.28554473	0.00036255
-375.25221139	0.00048001
-375.21887805	0.00050315
-375.18554471	-0.00032035
-375.15221138	0.00056106
-375.11887804	-0.00052521
-375.08554470	-0.00002441
-375.05221136	0.00065446
-375.01887802	-0.00050490
-374.98554468	0.00061659
-374.95221134	0.00049402
-374.91887801	-0.00019653
-374.88554467	0.00043491
-374.85221133	0.00056713
-374.81887799	0.00115731
-374.78554465	0.00098186
-374.75221131	-0.00071940
-374.71887797	0.00062542
-374.68554464	-0.00031718
-374.65221130	-0.00039418
-374.61887796	0.00043323
-374.58554462	0.00168943
-374.55221128	-0.00003991
-374.51887794	0.00030141
-374.48554460	0.00007844
-374.45221127	0.00000516
-374.41887793	-0.00041253
-374.38554459	-0.00058934
-374.35221125	0.00074746
-374.31887791	-0.00045809
-374.28554457	0.00032777
-374.25221123	-0.00040712
-374.21887790	0.00010508
-374.18554456	-0.00005972
-374.15221122	-0.00000668
-374.11887788	-0.00007854
-374.08554454	0.00006070
-374.05221120	0.00047360
-374.01887786	-0.00124013
-373.98554453	0.00000301
-373.95221119	0.00111610
-373.91887785	0.00119782
-373.88554451	0.00106630
-373.85221117	0.00013891
-373.81887783	0.00096452
-373.78554449	0.00079197
-373.75221115	0.00081150
-373.71887782	-0.00019513
-373.68554448	0.00024384
-373.65221114	0.00085899
-373.61887780	0.00056872
-373.58554446	0.00051100
-373.55221112	0.00076069
-373.51887778	-0.00049159
-373.48554445	0.00036622
-373.45221111	0.00094869
-373.41887777	0.00095036
-373.38554443	0.00119593
-373.35221109	0.00163418
-373.31887775	-0.00021922
-373.28554441	-0.00116075
-373.25221108	0.00095497
-373.21887774	0.00092595
-373.18554440	0.00067376
-373.15221106	0.00028538
-373.11887772	0.00103441
-373.08554438	0.00067100
-373.05221104	0.00134489
-373.01887771	0.00069936
-372.98554437	0.00049871
-372.95221103	0.00100316
-372.91887769	-0.00013168
-372.88554435	-0.00031454
-372.85221101	-0.00004669
-372.81887767	0.00053618
-372.78554434	-0.00006768
-372.75221100	0.00167008
-372.71887766	0.00127285
-372.68554432	-0.00003694
-372.65221098	-0.00023656
-372.61887764	0.00026873
-372.58554430	0.00100639
-372.55221097	0.00016792
-372.51887763	0.00038663
-372.48554429	0.00076945
-372.45221095	0.00033752
-372.41887761	-0.00000668
-372.38554427	0.00024880
-372.35221093	-0.00042184
-372.31887760	0.00068848
-372.28554426	-0.00030757
-372.25221092	0.00030703
-372.21887758	-0.00049205
-372.18554424	0.00141824
-372.15221090	0.00057937
-372.11887756	0.00070930
-372.08554422	-0.00017742
-372.05221089	0.00121509
-372.01887755	0.00057216
-371.98554421	0.00023031
-371.95221087	0.00072162
-371.91887753	0.00013149
-371.88554419	0.00119640
-371.85221085	-0.00134079
-371.81887752	0.00133138
-371.78554418	0.00043006
-371.75221084	0.00047431
-371.71887750	-0.00016310
-371.68554416	0.00091079
-371.65221082	0.00063933
-371.61887748	0.00108845
-371.58554415	0.00089782
-371.55221081	-0.00037283
-371.51887747	-0.00004782
-371.48554413	-0.00087804
-371.45221079	0.00127152
-371.41887745	-0.00045732
-371.38554411	0.00120498
-371.35221078	0.00104025
-371.31887744	0.00151238
-371.28554410	0.00044898
-371.25221076	-0.00040691
-371.21887742	0.00022386
-371.18554408	0.00015060
-371.15221074	0.00063211
-371.11887741	0.00037254
-371.08554407	0.00096031
-371.05221073	0.00015937
-371.01887739	0.00080251
-370.98554405	-0.00023117
-370.95221071	0.00048155
-370.91887737	0.00007925
-370.88554404	0.00107896
-370.85221070	0.00083171
-370.81887736	0.00088990
-370.78554402	0.00153915
-370.75221068	-0.00026150
-370.71887734	0.00261595
-370.68554400	0.00016595
-370.65221067	0.00041236
-370.61887733	0.00079112
-370.58554399	0.00087822
-370.55221065	0.00049923
-370.51887731	-0.00033752
-370.48554397	0.00071270
-370.45221063	0.00002463
-370.41887729	0.00206496
-370.38554396	0.00090992
-370.35221062	0.00057894
-370.31887728	-0.00015927
-370.28554394	0.00057854
-370.25221060	0.00078609
-370.21887726	0.00148493
-370.18554392	0.00174646
-370.15221059	0.00154555
-370.11887725	0.00032733
-370.08554391	0.00175781
-370.05221057	0.00055608
-370.01887723	0.00197718
-369.98554389	0.00084056
-369.95221055	0.00134790
-369.91887722	0.00063742
-369.88554388	0.00160038
-369.85221054	0.00127751
-369.81887720	0.00224525
-369.78554386	0.00323386
-369.75221052	0.00201010
-369.71887718	0.00276989
-369.68554385	0.00222009
-369.65221051	0.00234684
-369.61887717	0.00389653
-369.58554383	0.00510749
-369.55221049	0.00384023
-369.51887715	0.00432524
-369.48554381	0.00250169
-369.45221048	0.00440575
-369.41887714	0.00470026
-369.38554380	0.00378484
-369.35221046	0.00327844
-369.31887712	0.00234107
-369.28554378	0.00022642
-369.25221044	-0.00103366
-369.21887711	-0.00143833
-369.18554377	-0.00463038
-369.15221043	-0.00486857
-369.11887709	-0.00603325
-369.08554375	-0.00653804
-369.05221041	-0.00776450
-369.01887707	-0.00535350
-368.98554374	-0.00526405
-368.95221040	-0.00457167
-368.91887706	-0.00283600
-368.88554372	-0.00181118
-368.85221038	0.00063876
-368.81887704	0.00150487
-368.78554370	0.00281355
-368.75221036	0.00343914
-368.71887703	0.00313265
-368.68554369	0.00353597
-368.65221035	0.00412387
-368.61887701	0.00139665
-368.58554367	0.00343020
-368.55221033	0.00269558
-368.51887699	0.00103829
-368.48554366	0.00163580
-368.45221032	0.00173697
-368.41887698	0.00088903
-368.38554364	-0.00002819
-368.35221030	-0.00056726
-368.31887696	-0.00034994
-368.28554362	-0.00166485
-368.25221029	-0.00184159
-368.21887695	-0.00014307
-368.18554361	-0.00170395
-368.15221027	0.00114316
-368.11887693	0.00080838
-368.08554359	0.00027611
-368.05221025	-0.00026111
-368.01887692	0.00083371
-367.98554358	0.00119355
-367.95221024	0.00135681
-367.91887690	0.00107815
-367.88554356	0.00005475
-367.85221022	-0.00212738
-367.81887688	-0.00096536
-367.78554355	-0.00036691
-367.75221021	-0.00190975
-367.71887687	-0.00129246
-367.68554353	-0.00168065
-367.65221019	-0.00148713
-367.61887685	-0.00124432
-367.58554351	-0.00214935
-367.55221018	-0.00142268
-367.51887684	-0.00077045
-367.48554350	0.00060889
-367.45221016	0.00285092
-367.41887682	0.00432395
-367.38554348	0.00330760
-367.35221014	0.00386765
-367.31887680	0.00447660
-367.28554347	0.00431459
-367.25221013	0.00443153
-367.21887679	0.00302620
-367.18554345	0.00256424
-367.15221011	0.00289374
-367.11887677	0.00184286
-367.08554343	0.00080932
-367.05221010	0.00117533
-367.01887676	0.00099091
-366.98554342	0.00046003
-366.95221008	-0.00016642
-366.91887674	0.00078012
-366.88554340	0.00118239
-366.85221006	0.00118648
-366.81887673	-0.00128040
-366.78554339	0.00123037
-366.75221005	0.00121440
-366.71887671	0.00020018
-366.68554337	0.00151209
-366.65221003	0.00073704
-366.61887669	0.00053370
-366.58554336	0.00143266
-366.55221002	0.00074435
-366.51887668	0.00125821
-366.48554334	0.00256303
-366.45221000	0.00142277
-366.41887666	0.00182270
-366.38554332	0.00176208
-366.35220999	0.00197044
-366.31887665	0.00083179
-366.28554331	0.00277439
-366.25220997	0.00138678
-366.21887663	-0.00026747
-366.18554329	0.00153919
-366.15220995	0.00200264
-366.11887662	0.00165442
-366.08554328	0.00088979
-366.05220994	0.00130964
-366.01887660	0.00151447
-365.98554326	0.00173328
-365.95220992	0.00220294
-365.91887658	0.00234793
-365.88554325	0.00191184
-365.85220991	0.00183847
-365.81887657	0.00181586
-365.78554323	0.00243634
-365.75220989	0.00119675
-365.71887655	0.00302928
-365.68554321	0.00426922
-365.65220987	0.00443811
-365.61887654	0.00260673
-365.58554320	0.00311558
-365.55220986	0.00344464
-365.51887652	0.00319418
-365.48554318	0.00343964
-365.45220984	0.00276819
-365.41887650	0.00157968
-365.38554317	-0.00003755
-365.35220983	0.00007096
-365.31887649	-0.00273429
-365.28554315	-0.00362338
-365.25220981	-0.00532154
-365.21887647	-0.00630819
-365.18554313	-0.00670057
-365.15220980	-0.00794887
-365.11887646	-0.00615300
-365.08554312	-0.00601008
-365.05220978	-0.00516959
-365.01887644	-0.00312464
-364.98554310	-0.00270992
-364.95220976	-0.00125416
-364.91887643	0.00072004
-364.88554309	0.00290806
-364.85220975	0.00254420
-364.81887641	0.00439151
-364.78554307	0.00588055
-364.75220973	0.00616373
-364.71887639	0.00540815
-364.68554306	0.00457708
-364.65220972	0.00324274
-364.61887638	0.00112974
-364.58554304	-0.00022594
-364.55220970	-0.00384846
-364.51887636	-0.00694627
-364.48554302	-0.00982785
-364.45220969	-0.01314398
-364.41887635	-0.01532021
-364.38554301	-0.01699980
-364.35220967	-0.01781076
-364.31887633	-0.01796540
-364.28554299	-0.01643574
-364.25220965	-0.01315034
-364.21887632	-0.01150604
-364.18554298	-0.00785896
-364.15220964	-0.00284210
-364.11887630	0.00096875
-364.08554296	0.00227900
-364.05220962	0.00474573
-364.01887628	0.00632008
-363.98554294	0.00576015
-363.95220961	0.00661753
-363.91887627	0.00616051
-363.88554293	0.00371567
-363.85220959	0.00128673
-363.81887625	-0.00021099
-363.78554291	-0.00219043
-363.75220957	-0.00330329
-363.71887624	-0.00566858
-363.68554290	-0.00671990
-363.65220956	-0.00689353
-363.61887622	-0.00797811
-363.58554288	-0.00754119
-363.55220954	-0.00841034
-363.51887620	-0.00982119
-363.48554287	-0.00883866
-363.45220953	-0.00729003
-363.41887619	-0.00698678
-363.38554285	-0.00670773
-363.35220951	-0.00744060
-363.31887617	-0.00617520
-363.28554283	-0.00400834
-363.25220950	-0.00681030
-363.21887616	-0.00632690
-363.18554282	-0.00812306
-363.15220948	-0.00968160
-363.11887614	-0.00947924
-363.08554280	-0.01171447
-363.05220946	-0.01190283
-363.01887613	-0.01295832
-362.98554279	-0.01349830
-362.95220945	-0.01569450
-362.91887611	-0.01689527
-362.88554277	-0.01632899
-362.85220943	-0.01504906
-362.81887609	-0.01417652
-362.78554276	-0.01407602
-362.75220942	-0.01143335
-362.71887608	-0.00997018
-362.68554274	-0.00859755
-362.65220940	-0.00772984
-362.61887606	-0.00509948
-362.58554272	-0.00276361
-362.55220939	-0.00072460
-362.51887605	-0.00180527
-362.48554271	0.00099304
-362.45220937	0.00350548
-362.41887603	0.00823059
-362.38554269	0.00967353
-362.35220935	0.01422592
-362.31887601	0.01856400
-362.28554268	0.02516958
-362.25220934	0.03161666
-362.21887600	0.04148504
-362.18554266	0.04863303
-362.15220932	0.06094400
-362.11887598	0.07365797
-362.08554264	0.08784116
-362.05220931	0.10209940
-362.01887597	0.11799078
-361.98554263	0.13426889
-361.95220929	0.15283067
-361.91887595	0.17379491
-361.88554261	0.19430035
-361.85220927	0.21767752
-361.81887594	0.24327516
-361.78554260	0.26799017
-361.75220926	0.29640814
-361.71887592	0.32438884
-361.68554258	0.35525035
-361.65220924	0.38752361
-361.61887590	0.42490513
-361.58554257	0.46097436
-361.55220923	0.50262629
-361.51887589	0.54079923
-361.48554255	0.58390818
-361.45220921	0.62528463
-361.41887587	0.66326194
-361.38554253	0.69518584
-361.35220920	0.71334368
-361.31887586	0.71723874
-361.28554252	0.69686283
-361.25220918	0.64646544
-361.21887584	0.56038467
-361.18554250	0.43404401
-361.15220916	0.26381578
-361.11887583	0.04915240
-361.08554249	-0.20264556
-361.05220915	-0.48448933
-361.01887581	-0.78231114
-360.98554247	-1.07514287
-360.95220913	-1.34378390
-360.91887579	-1.56168926
-360.88554246	-1.71189036
-360.85220912	-1.77343198
-360.81887578	-1.74255483
-360.78554244	-1.61863116
-360.75220910	-1.40887327
-360.71887576	-1.13672494
-360.68554242	-0.82617191
-360.65220908	-0.50744391
-360.61887575	-0.20329888
-360.58554241	0.06335266
-360.55220907	0.27648546
-360.51887573	0.43060497
-360.48554239	0.52424650
-360.45220905	0.56100264
-360.41887571	0.54621018
-360.38554238	0.49060834
-360.35220904	0.40445520
-360.31887570	0.28923617
-360.28554236	0.15990174
-360.25220902	0.02248103
-360.21887568	-0.11748928
-360.18554234	-0.24501811
-360.15220901	-0.35916837
-360.11887567	-0.44885349
-360.08554233	-0.51538703
-360.05220899	-0.55464554
-360.01887565	-0.56956468
-359.98554231	-0.55826660
-359.95220897	-0.52406702
-359.91887564	-0.46799925
-359.88554230	-0.39492714
-359.85220896	-0.31348375
-359.81887562	-0.22484940
-359.78554228	-0.14276868
-359.75220894	-0.07163319
-359.71887560	-0.01867871
-359.68554227	0.01420916
-359.65220893	0.03036439
-359.61887559	0.03611809
-359.58554225	0.02808328
-359.55220891	0.01831550
-359.51887557	0.00518117
-359.48554223	-0.00047684
-359.45220890	0.00118748
-359.41887556	0.01663804
-359.38554222	0.04628622
-359.35220888	0.09297495
-359.31887554	0.15699618
-359.28554220	0.23424890
-359.25220886	0.31665533
-359.21887553	0.40067882
-359.18554219	0.47655184
-359.15220885	0.53629593
-359.11887551	0.57634078
-359.08554217	0.58983640
-359.05220883	0.57514718
-359.01887549	0.53723089
-358.98554215	0.47897231
-358.95220882	0.40534686
