# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-15T20:02:57
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-385.01887960	0.00000000
-384.98554626	0.00000001
-384.95221292	0.00000000
-384.91887959	0.00000003
-384.88554625	0.00000013
-384.85221291	-0.00000002
-384.81887957	0.00000004
-384.78554623	0.00000022
-384.75221289	-0.00000031
-384.71887955	0.00000028
-384.68554622	-0.00000063
-384.65221288	-0.00000128
-384.61887954	-0.00000128
-384.58554620	-0.00000075
-384.55221286	0.00000178
-384.51887952	-0.00000041
-384.48554618	-0.00000153
-384.45221285	0.00000049
-384.41887951	0.00000169
-384.38554617	0.00000065
-384.35221283	0.00000237
-384.31887949	0.00000364
-384.28554615	-0.00000383
-384.25221281	-0.00000457
-384.21887948	0.00000374
-384.18554614	0.00000342
-384.15221280	0.00000179
-384.11887946	-0.00001319
-384.08554612	-0.00000397
-384.05221278	-0.00000950
-384.01887944	-0.00000577
-383.98554611	-0.00002100
-383.95221277	-0.00002064
-383.91887943	-0.00001070
-383.88554609	-0.00002057
-383.85221275	-0.00000258
-383.81887941	-0.00001727
-383.78554607	-0.00001136
-383.75221273	0.00000984
-383.71887940	-0.00003410
-383.68554606	-0.00000549
-383.65221272	0.00001664
-383.61887938	-0.00004509
-383.58554604	0.00000679
-383.55221270	-0.00003526
-383.51887936	-0.00004903
-383.48554603	-0.00004004
-383.45221269	-0.00000050
-383.41887935	0.00000948
-383.38554601	0.00001433
-383.35221267	-0.00001032
-383.31887933	-0.00004123
-383.28554599	-0.00004417
-383.25221266	-0.00002882
-383.21887932	-0.00000461
-383.18554598	-0.00005355
-383.15221264	-0.00001191
-383.11887930	-0.00002737
-383.08554596	-0.00002734
-383.05221262	-0.00002691
-383.01887929	-0.00005241
-382.98554595	-0.00005573
-382.95221261	-0.00000682
-382.91887927	-0.00003822
-382.88554593	-0.00002408
-382.85221259	0.00000617
-382.81887925	-0.00000557
-382.78554592	-0.00002515
-382.75221258	0.00002166
-382.71887924	-0.00011729
-382.68554590	-0.00009992
-382.65221256	-0.00002468
-382.61887922	-0.00005170
-382.58554588	-0.00003503
-382.55221255	-0.00006158
-382.51887921	-0.00019488
-382.48554587	-0.00000197
-382.45221253	-0.00007970
-382.41887919	-0.00016903
-382.38554585	-0.00008208
-382.35221251	-0.00012641
-382.31887918	-0.00006253
-382.28554584	-0.00005598
-382.25221250	-0.00009796
-382.21887916	-0.00008113
-382.18554582	-0.00004795
-382.15221248	-0.00005893
-382.11887914	-0.00006604
-382.08554580	-0.00003638
-382.05221247	-0.00007096
-382.01887913	-0.00008807
-381.98554579	-0.00010583
-381.95221245	-0.00025346
-381.91887911	-0.00002313
-381.88554577	-0.00000815
-381.85221243	-0.00010751
-381.81887910	0.00004748
-381.78554576	0.00003984
-381.75221242	-0.00015070
-381.71887908	-0.00009652
-381.68554574	-0.00010615
-381.65221240	-0.00002689
-381.61887906	0.00000533
-381.58554573	-0.00011178
-381.55221239	-0.00021960
-381.51887905	0.00000930
-381.48554571	0.00000862
-381.45221237	0.00011478
-381.41887903	-0.00021418
-381.38554569	-0.00000083
-381.35221236	-0.00012514
-381.31887902	-0.00009903
-381.28554568	-0.00006218
-381.25221234	0.00013098
-381.21887900	0.00008427
-381.18554566	-0.00015410
-381.15221232	-0.00011851
-381.11887899	-0.00022615
-381.08554565	0.00009038
-381.05221231	0.00018320
-381.01887897	0.00006235
-380.98554563	0.00011816
-380.95221229	0.00007594
-380.91887895	-0.00002952
-380.88554562	-0.00013031
-380.85221228	-0.00034685
-380.81887894	-0.00004657
-380.78554560	-0.00001570
-380.75221226	0.00012907
-380.71887892	-0.00006261
-380.68554558	-0.00012399
-380.65221225	-0.00010493
-380.61887891	-0.00011217
-380.58554557	0.00011111
-380.55221223	-0.00003843
-380.51887889	0.00002693
-380.48554555	-0.00026589
-380.45221221	-0.00023301
-380.41887887	-0.00022062
-380.38554554	0.00002985
-380.35221220	-0.00016049
-380.31887886	-0.00022194
-380.28554552	-0.00016363
-380.25221218	-0.00018023
-380.21887884	-0.00007643
-380.18554550	-0.00008874
-380.15221217	-0.00005800
-380.11887883	-0.00013502
-380.08554549	-0.00012716
-380.05221215	-0.00043339
-380.01887881	-0.00047077
-379.98554547	-0.00045476
-379.95221213	-0.00021428
-379.91887880	-0.00007360
-379.88554546	-0.00019677
-379.85221212	-0.00030317
-379.81887878	-0.00002170
-379.78554544	-0.00015781
-379.75221210	-0.00006230
-379.71887876	-0.00010855
-379.68554543	-0.00006312
-379.65221209	-0.00041165
-379.61887875	-0.00027429
-379.58554541	-0.00025372
-379.55221207	0.00008924
-379.51887873	-0.00006445
-379.48554539	-0.00010013
-379.45221206	0.00015234
-379.41887872	-0.00003831
-379.38554538	-0.00002972
-379.35221204	-0.00025972
-379.31887870	-0.00024702
-379.28554536	-0.00024689
-379.25221202	-0.00055794
-379.21887869	-0.00015177
-379.18554535	0.00016670
-379.15221201	-0.00000166
-379.11887867	0.00038105
-379.08554533	-0.00008956
-379.05221199	0.00056922
-379.01887865	-0.00002108
-378.98554532	-0.00044782
-378.95221198	-0.00029342
-378.91887864	0.00022144
-378.88554530	0.00023317
-378.85221196	-0.00029739
-378.81887862	-0.00005693
-378.78554528	0.00017055
-378.75221194	0.00020677
-378.71887861	0.00022399
-378.68554527	0.00028874
-378.65221193	0.00011305
-378.61887859	0.00045842
-378.58554525	0.00021434
-378.55221191	0.00068200
-378.51887857	0.00012486
-378.48554524	0.00000049
-378.45221190	0.00016599
-378.41887856	0.00010812
-378.38554522	0.00018731
-378.35221188	0.00019472
-378.31887854	0.00059731
-378.28554520	0.00002060
-378.25221187	0.00030235
-378.21887853	-0.00003917
-378.18554519	0.00072864
-378.15221185	0.00065815
-378.11887851	0.00039870
-378.08554517	0.00000503
-378.05221183	0.00053849
-378.01887850	0.00054565
-377.98554516	0.00018532
-377.95221182	0.00084647
-377.91887848	0.00021650
-377.88554514	0.00024139
-377.85221180	0.00015157
-377.81887846	0.00040469
-377.78554513	0.00023459
-377.75221179	0.00022027
-377.71887845	-0.00028658
-377.68554511	0.00053130
-377.65221177	-0.00004961
-377.61887843	0.00072776
-377.58554509	0.00040186
-377.55221176	0.00066774
-377.51887842	0.00055297
-377.48554508	0.00045774
-377.45221174	0.00087773
-377.41887840	0.00052731
-377.38554506	0.00068002
-377.35221172	-0.00000506
-377.31887839	0.00019078
-377.28554505	0.00018979
-377.25221171	0.00045781
-377.21887837	0.00023803
-377.18554503	0.00024155
-377.15221169	0.00005401
-377.11887835	0.00033312
-377.08554501	0.00104133
-377.05221168	-0.00002148
-377.01887834	0.00015789
-376.98554500	-0.00003419
-376.95221166	0.00058802
-376.91887832	0.00021577
-376.88554498	0.00060224
-376.85221164	0.00015603
-376.81887831	0.00039823
-376.78554497	-0.00076181
-376.75221163	0.00043102
-376.71887829	0.00083297
-376.68554495	0.00041808
-376.65221161	0.00025153
-376.61887827	0.00050705
-376.58554494	0.00053926
-376.55221160	0.00001286
-376.51887826	0.00050705
-376.48554492	0.00013649
-376.45221158	-0.00022181
-376.41887824	0.00012673
-376.38554490	0.00023399
-376.35221157	0.00093508
-376.31887823	-0.00072300
-376.28554489	0.00053299
-376.25221155	0.00006645
-376.21887821	0.00062777
-376.18554487	0.00062270
-376.15221153	-0.00038151
-376.11887820	-0.00048714
-376.08554486	-0.00021339
-376.05221152	0.00063323
-376.01887818	-0.00007800
-375.98554484	0.00016494
-375.95221150	0.00027844
-375.91887816	0.00021783
-375.88554483	0.00036069
-375.85221149	0.00102565
-375.81887815	-0.00043234
-375.78554481	0.00018745
-375.75221147	0.00023231
-375.71887813	-0.00021971
-375.68554479	-0.00031586
-375.65221146	0.00088135
-375.61887812	0.00007000
-375.58554478	0.00015138
-375.55221144	0.00005918
-375.51887810	0.00111969
-375.48554476	0.00055626
-375.45221142	0.00017799
-375.41887808	0.00005175
-375.38554475	-0.00031031
-375.35221141	0.00103425
-375.31887807	0.00018327
-375.28554473	-0.00042282
-375.25221139	0.00036262
-375.21887805	0.00082240
-375.18554471	0.00033085
-375.15221138	0.00085739
-375.11887804	0.00115568
-375.08554470	0.00033762
-375.05221136	-0.00013935
-375.01887802	-0.00105911
-374.98554468	-0.00045008
-374.95221134	0.00111613
-374.91887801	0.00079303
-374.88554467	-0.00042436
-374.85221133	0.00032388
-374.81887799	-0.00047596
-374.78554465	-0.00001111
-374.75221131	0.00106107
-374.71887797	0.00059407
-374.68554464	0.00106940
-374.65221130	0.00084621
-374.61887796	-0.00059576
-374.58554462	0.00107969
-374.55221128	-0.00019859
-374.51887794	0.00060066
-374.48554460	-0.00052024
-374.45221127	-0.00030029
-374.41887793	0.00138435
-374.38554459	0.00166025
-374.35221125	0.00051146
-374.31887791	-0.00028637
-374.28554457	0.00066432
-374.25221123	0.00093962
-374.21887790	-0.00002489
-374.18554456	0.00072686
-374.15221122	0.00031358
-374.11887788	0.00067014
-374.08554454	0.00082471
-374.05221120	0.00021082
-374.01887786	-0.00063271
-373.98554453	-0.00005326
-373.95221119	0.00050081
-373.91887785	-0.00043768
-373.88554451	-0.00046519
-373.85221117	0.00044957
-373.81887783	0.00090172
-373.78554449	-0.00018564
-373.75221115	-0.00040798
-373.71887782	-0.00013252
-373.68554448	-0.00032448
-373.65221114	0.00031310
-373.61887780	0.00037864
-373.58554446	0.00107729
-373.55221112	0.00026414
-373.51887778	0.00004891
-373.48554445	0.00086441
-373.45221111	-0.00000655
-373.41887777	0.00126074
-373.38554443	0.00002618
-373.35221109	0.00053217
-373.31887775	0.00184531
-373.28554441	0.00137185
-373.25221108	0.00128434
-373.21887774	0.00051209
-373.18554440	0.00098144
-373.15221106	0.00153033
-373.11887772	0.00095446
-373.08554438	0.00029375
-373.05221104	-0.00027505
-373.01887771	0.00061862
-372.98554437	0.00056299
-372.95221103	0.00114396
-372.91887769	0.00044784
-372.88554435	0.00113061
-372.85221101	-0.00012605
-372.81887767	0.00090157
-372.78554434	0.00144432
-372.75221100	0.00072516
-372.71887766	-0.00054403
-372.68554432	0.00032958
-372.65221098	0.00073990
-372.61887764	0.00004795
-372.58554430	0.00091635
-372.55221097	0.00141851
-372.51887763	0.00010167
-372.48554429	-0.00005861
-372.45221095	0.00064578
-372.41887761	0.00028721
-372.38554427	0.00067298
-372.35221093	0.00065416
-372.31887760	-0.00006071
-372.28554426	0.00086608
-372.25221092	0.00073051
-372.21887758	-0.00183726
-372.18554424	-0.00038603
-372.15221090	0.00113510
-372.11887756	0.00080024
-372.08554422	0.00014080
-372.05221089	0.00028159
-372.01887755	0.00032158
-371.98554421	0.00057101
-371.95221087	0.00033123
